song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,genre
12 のエチュード 和音のための,Claude Debussy,0.991,0.435,298438,0.1939999999999999,0.872,3,0.0681,-20.254,0,0.125,65.513,4,0.0676,15,classical
"Ariettes oubliées, L. 60: Ariettes oubliées, L. 60: III. L'ombre des arbres",Claude Debussy,0.994,0.3289999999999999,131493,0.0314,0.0106,3,0.105,-26.282,0,0.0457,104.854,4,0.0362,2,classical
"Ariettes oubliées, L. 60: Ariettes oubliées, L. 60: VI. Aquarelles II. Spleen",Claude Debussy,0.993,0.377,138373,0.0528,0.00515,8,0.0654,-20.514,0,0.0542,126.381,3,0.0339,2,classical
Bruyères,Claude Debussy,0.94,0.153,185920,0.0233,0.928,7,0.186,-30.85,1,0.0419,80.113,4,0.0759,14,classical
"Debussy: Fantaisie for Piano and Orchestra, L. 72a: I. Andante ma non troppo - Allegro giusto",Claude Debussy,0.991,0.1689999999999999,531560,0.134,0.888,7,0.226,-19.007,1,0.0334,82.523,3,0.0387,11,classical
"Debussy: Piano Trio in G Major, L. 5: II. Scherzo - Intermezzo - Moderato con allegro",Claude Debussy,0.975,0.4429999999999999,192267,0.0389,0.8759999999999999,11,0.0848,-26.207,0,0.0401,78.007,4,0.35,7,classical
"La mer, L. 109: No. 1, De l'aube à midi sur la mer",Claude Debussy,0.57,0.146,491235,0.134,0.064,1,0.144,-22.291,1,0.0426,103.099,3,0.0443,5,classical
"La plus que lente, L. 121",Claude Debussy,0.993,0.262,262400,0.0272,0.919,6,0.134,-25.455,1,0.0446,68.907,5,0.069,22,classical
"Nocturnes, L. 91: No. 2. Fêtes (Arr. V. Leyetchkiss for Piano)",Claude Debussy,0.991,0.3229999999999999,394361,0.152,0.923,6,0.081,-21.992,1,0.0406,74.579,4,0.0887,7,classical
"Petite suite, L. 65: Petite suite, L. 65: III. Menuet",Claude Debussy,0.994,0.3429999999999999,178347,0.0435,0.873,7,0.0843,-28.544,1,0.0337,93.54,3,0.171,5,classical
Petite suite: I. En bateau,Claude Debussy,0.995,0.325,198757,0.0081599999999999,0.899,7,0.0919,-33.834,1,0.0428,129.795,3,0.04,3,classical
"Proses lyriques, L. 84: IV. De soir ….",Claude Debussy,0.991,0.268,278027,0.0955,0.00419,8,0.21,-20.041,0,0.0551,164.05,5,0.044,3,classical
"Préludes / Book 1, L. 117: 5. Les collines d'Anacapri",Claude Debussy,0.989,0.365,179333,0.0741,0.884,11,0.0435,-22.254,1,0.0378,90.06200000000001,4,0.138,20,classical
"Préludes / Book 1, L.117: 1. Danseuses de Delphes",Claude Debussy,0.994,0.606,188000,0.00367,0.887,5,0.0737,-30.117,1,0.0892,130.925,4,0.0551,11,classical
"Préludes, Book 1, L. 117: No. 8, La fille aux cheveux de lin",Claude Debussy,0.995,0.344,145373,0.00367,0.903,6,0.0654,-35.48,1,0.048,102.868,3,0.1369999999999999,19,classical
"Préludes, Book 2, L. 123: No. 9, Hommage à S. Pickwick Esq. P.P.M.P.C",Claude Debussy,0.991,0.511,128160,0.0586,0.5670000000000001,2,0.152,-19.244,0,0.0402,103.176,5,0.103,8,classical
"Préludes, Livre 1, CD 125: II. Voiles. Modéré",Claude Debussy,0.993,0.228,268240,0.00288,0.947,3,0.0748,-37.844,1,0.0464,67.29899999999999,4,0.0351,15,classical
"Préludes, Livre 2, L. 123: 6. Général Lavine - eccentric",Claude Debussy,0.989,0.461,145733,0.108,0.895,0,0.178,-18.59,1,0.0384,105.29,4,0.233,21,classical
"Trois Ballades de François Villon, L. 119: III. Ballade des femmes de Paris",Claude Debussy,0.989,0.386,148613,0.17,0.2789999999999999,9,0.127,-20.675,1,0.0466,104.811,4,0.203,4,classical
"仮面, L. 105",Claude Debussy,0.976,0.302,272573,0.1169999999999999,0.8220000000000001,1,0.0959,-22.749,1,0.0397,99.549,5,0.0356,11,classical
"Peer Gynt, Op. 23: No. 15, Prelude. Morgenstemning",Edvard Grieg,0.971,0.0733,261133,0.0094,0.7559999999999999,4,0.127,-27.066,1,0.0443,77.957,4,0.035,38,classical
"4 Préludes: No. 2, Eginhard prélude",Erik Satie,0.986,0.605,128440,0.00313,0.8690000000000001,2,0.119,-20.274,1,0.211,79.444,1,0.28,18,classical
Ludions: VI. Vexations,Erik Satie,0.982,0.218,111893,0.0365,0.246,11,0.0684,-22.612,1,0.0444,82.476,4,0.0518,10,classical
Uspud (Version for Piano): Act III,Erik Satie,0.988,0.552,479467,0.000974,0.772,7,0.0466,-25.866,1,0.173,70.275,5,0.0426,19,classical
"Cello Sonata No. 1 in B-Flat Major, Op. 45, MWV Q27: II. Andante",Felix Mendelssohn,0.978,0.297,350693,0.0685,0.889,7,0.153,-24.47,1,0.0349,96.87,4,0.172,6,classical
San Francesco di Sales: Sinfonia,Francesco Feo,0.961,0.401,257147,0.0994,0.7,2,0.126,-22.755,1,0.0476,137.46,4,0.223,10,classical
"Cello Concerto No. 1 in C Major, Hob. VIIb:1: II. Adagio",Franz Joseph Haydn,0.963,0.145,475773,0.051,0.857,5,0.0964,-23.836,1,0.0595,181.63,3,0.109,16,classical
"Piano Trio in F-Sharp Minor, Hob. XV:26: II. Adagio cantabile",Franz Joseph Haydn,0.985,0.272,176213,0.0537,0.894,6,0.11,-23.153,1,0.0395,143.466,3,0.126,9,classical
"String Quartet in C Major, Op. 64 No. 1, Hob. III:65: II. Menuetto. Allegretto ma non troppo",Franz Joseph Haydn,0.964,0.324,269267,0.0314,0.0721,0,0.121,-21.076,1,0.0473,125.89,5,0.173,9,classical
"Symphony No. 100 in G Major, Hob. I:100 ""Military"": I. Adagio - Allegro",Franz Joseph Haydn,0.954,0.416,476107,0.182,0.802,2,0.283,-15.843,1,0.0458,125.391,4,0.2019999999999999,4,classical
"Symphony No. 103 in E-Flat Major, Hob. I:103 ""Drumroll"": IV. Finale. Allegro con spirito",Franz Joseph Haydn,0.95,0.346,356453,0.166,0.813,3,0.186,-15.448,1,0.0428,137.377,4,0.184,6,classical
"Symphony No. 97 in C Major, Hob. I:97: IV. Finale. Presto assai",Franz Joseph Haydn,0.932,0.57,301893,0.427,0.867,0,0.2339999999999999,-14.262,1,0.0555,85.63,4,0.372,4,classical
"2 Czárdás, S. 225: No. 2, Czárdás obstinée",Franz Liszt,0.989,0.3879999999999999,180773,0.162,0.916,4,0.0949,-21.526,0,0.0427,61.269,3,0.556,4,classical
"Piano Concerto No. 2 in A Major, S. 125: I. Adagio sostenuto assai - Allegro agitato assai - Un poco più mosso - Tempo del andante",Franz Liszt,0.976,0.21,431720,0.127,0.8420000000000001,5,0.0646,-20.03,1,0.0427,61.255,4,0.0366,7,classical
"Piano Trio in E-Flat Major, Op. 148, D. 897 ""Notturno""",Franz Schubert,0.983,0.204,496987,0.0328,0.767,10,0.0973,-22.722,1,0.0423,83.561,1,0.078,8,classical
"String Quartet No. 4 in C Major, D. 46: I. Adagio - Allegro con moto",Franz Schubert,0.971,0.368,533560,0.166,0.675,7,0.114,-18.379,1,0.0515,122.748,3,0.103,0,classical
"Winterreise, D. 911 ""Winter Journey"": XII. Einsamkeit ""Loneliness """,Franz Schubert,0.988,0.261,189507,0.031,0.000459,11,0.0915,-20.642,0,0.0561,168.233,5,0.0372,2,classical
"Barcarolle No. 13 in C Major, Op. 116",Gabriel Fauré,0.993,0.3289999999999999,231465,0.0671,0.866,0,0.177,-24.694000000000003,1,0.0341,97.941,1,0.0973,2,classical
"Concerto in F Major, HWV 334: II. Allegro",George Frideric Handel,0.926,0.3279999999999999,166707,0.237,0.77,4,0.176,-14.85,1,0.0341,130.295,3,0.411,14,classical
"Organ Concerto No. 9 in B-Flat Major, Op. 7 No. 3, HWV 308: III. Spiritoso",George Frideric Handel,0.807,0.382,287973,0.174,0.207,10,0.282,-16.396,1,0.0313,112.457,3,0.4679999999999999,9,classical
"Organ Concerto in B-Flat Major, Op. 7 No. 6, HWV 311: II. Adagio",George Frideric Handel,0.882,0.1169999999999999,84027,0.00391,0.7979999999999999,2,0.111,-34.09,0,0.0442,75.39399999999999,3,0.186,7,classical
"Theodora, HWV 68, Act III: No. 55, But See, the Good, the Virtuous Didymus (Live)",George Frideric Handel,0.971,0.47,37707,0.0857,0.0,11,0.235,-22.687,0,0.22,96.432,4,0.2019999999999999,0,classical
"Theodora, HWV 68, Act III: No. 72, O Love Divine (Live)",George Frideric Handel,0.939,0.148,230920,0.479,0.0449,6,0.6970000000000001,-18.668,0,0.103,99.322,1,0.349,1,classical
"Theodora, HWV 68: No. 1c, Overture. Trio (Live)",George Frideric Handel,0.865,0.208,114920,0.0556,0.973,2,0.12,-27.572,1,0.0371,69.242,4,0.2269999999999999,3,classical
"La rondine, Act I: Chi il bel sogno di Doretta (Live)",Giacomo Puccini,0.937,0.26,295453,0.207,0.00179,5,0.212,-17.35,1,0.0584,90.647,4,0.0584,13,classical
Partia di Signore Stelzen: 3. Bourreé,Gottfried Heinrich Stölzel,0.754,0.515,52547,0.457,0.0010199999999999,6,0.0709,-15.419,0,0.0421,119.125,4,0.972,2,classical
"A Choice Collection of Lessons, Suite No. 5 in C Major, Z. 666: III. Corant",Henry Purcell,0.703,0.362,69027,0.462,0.858,11,0.0995,-12.385,1,0.0492,117.345,5,0.612,5,classical
"A Choice Collection of Lessons, Suite No. 6 in D Major, Z. 667: III. Hornpipe",Henry Purcell,0.861,0.2739999999999999,74947,0.497,0.336,1,0.107,-11.974,1,0.0437,98.785,4,0.684,5,classical
Call My Name,I'm With Her,0.804,0.603,192667,0.434,0.0263,6,0.111,-11.368,1,0.0544,156.017,4,0.4429999999999999,57,classical
"""Vergnügte Ruh, beliebte Seelenlust"" Cantata, BWV 170: 5. ""Mir ekelt mehr zu leben""",Johann Sebastian Bach,0.971,0.425,413000,0.105,0.000533,9,0.214,-15.337,1,0.0375,130.783,4,0.409,15,classical
1. Adagio,Johann Sebastian Bach,0.989,0.159,284840,0.0894,0.0149,7,0.685,-20.277,0,0.0463,84.24700000000001,4,0.184,35,classical
"16 Konzerte nach verschiedenen Meistern, No. 1 in D Major, BWV 972: III. Allegro",Johann Sebastian Bach,0.7120000000000001,0.309,150012,0.545,5.25e-5,1,0.1639999999999999,-16.155,1,0.0305,138.888,3,0.932,9,classical
"18 Chorale Preludes, BWV 659-664: X. Trio super. Nun komm, der Heiden Heiland, BWV 660 a due bassi e canto fermo",Johann Sebastian Bach,0.922,0.207,152680,0.0224,0.898,7,0.1369999999999999,-27.476,0,0.0345,75.307,3,0.237,1,classical
"18 Chorale Preludes, BWV 659-664: XIII. Allein Gott in der Höh sei Ehr, BWV 663 à 2 Clav. Et Ped. – Il canto fermo nel tenore",Johann Sebastian Bach,0.925,0.0781,444240,0.0196,0.971,7,0.118,-30.851,1,0.0445,81.774,4,0.104,0,classical
"2-Part Inventions: No. 12 in A Major, BWV 783",Johann Sebastian Bach,0.988,0.436,80200,0.215,0.8540000000000001,6,0.1169999999999999,-23.413,0,0.0303,102.511,4,0.794,12,classical
"2-Part Inventions: No. 9 in F Minor, BWV 780",Johann Sebastian Bach,0.995,0.377,123400,0.0878,0.913,5,0.1169999999999999,-28.484,0,0.0589,109.214,1,0.0637,12,classical
"6 Chorale Preludes ""Schübler"": No. 3, Wer nur den lieben Gott lasst walten, BWV 647",Johann Sebastian Bach,0.964,0.15,244040,0.003,0.98,0,0.099,-36.213,0,0.043,79.914,4,0.191,14,classical
"Ach, lieben Christen, seid getrost, BWV 114: No. 2, Wo wird in diesem Jammertale",Johann Sebastian Bach,0.956,0.235,573587,0.165,0.0002399999999999,2,0.0688,-16.923,0,0.0456,82.928,3,0.118,8,classical
"Ach, was soll ich Sünder Machen, BWV 770: Partita III",Johann Sebastian Bach,0.688,0.3329999999999999,62720,0.0848,0.157,8,0.53,-25.904,1,0.0346,57.926,3,0.223,0,classical
"Aria variata in A Minor, BWV 989 ""Alla maniera italiana"": VII. Var. VII. Un poco allegro",Johann Sebastian Bach,0.603,0.166,54438,0.4579999999999999,2.55e-6,8,0.3429999999999999,-17.805,1,0.0356,165.528,1,0.966,6,classical
"Bach, JS: Concerto for 2 Pianos in C Minor, BWV 1062: III. Allegro assai",Johann Sebastian Bach,0.985,0.5579999999999999,266733,0.317,0.883,0,0.226,-18.598,0,0.0311,110.044,3,0.7090000000000001,24,classical
"Brandenburg Concerto No. 6 in B-Flat Major, BWV 1051: II. Adagio ma non tanto",Johann Sebastian Bach,0.675,0.0659,347107,0.186,0.8809999999999999,3,0.0971,-19.105,1,0.0425,69.488,4,0.073,9,classical
"Cantata ""Gott soll allein mein Herze haben"", BWV 169: VII. Chorale ""Du süße Liebe, schenk uns deine Gunst""",Johann Sebastian Bach,0.932,0.221,66453,0.2269999999999999,0.8540000000000001,8,0.1009999999999999,-13.988,1,0.0371,113.293,1,0.3229999999999999,18,classical
"Cantata ""Ich habe genug"", BWV 82: I. Aria ""Ich habe genug""",Johann Sebastian Bach,0.942,0.204,421550,0.157,0.7390000000000001,11,0.198,-16.56,0,0.037,94.521,3,0.12,27,classical
"Cello Suite No. 1 in G Major, BWV 1007: VI. Gigue",Johann Sebastian Bach,0.972,0.4429999999999999,108827,0.0726,0.8740000000000001,7,0.109,-20.811,1,0.0462,133.31,3,0.941,10,classical
"Cello Suite No. 2 in D Minor, BWV 1008 (Arr. T. Hoppstock for Guitar): IV. Sarabande",Johann Sebastian Bach,0.988,0.3979999999999999,167173,0.0534,0.934,9,0.0814,-25.673,0,0.0474,101.264,1,0.1669999999999999,19,classical
"Cello Suite No. 2 in D Minor, BWV 1008: I. Prélude",Johann Sebastian Bach,0.818,0.214,204659,0.192,0.759,1,0.103,-18.273,0,0.0407,146.285,5,0.131,19,classical
"Cello Suite No. 3 in C Major, BWV 1009: V. Bourrées I & II",Johann Sebastian Bach,0.991,0.419,245200,0.0098,0.7290000000000001,0,0.132,-29.782,1,0.0486,135.221,4,0.888,19,classical
"Cello Suite No. 3 in C Major, BWV 1009: VI. Gigue",Johann Sebastian Bach,0.946,0.4,179733,0.145,0.84,7,0.0993,-17.884,1,0.0467,116.672,4,0.763,9,classical
"Cello Suite No. 4 in E-Flat Major, BWV 1010: V. Bourrées I & II",Johann Sebastian Bach,0.953,0.379,278880,0.2189999999999999,0.857,3,0.294,-17.074,1,0.0536,75.734,4,0.633,16,classical
"Chorale Preludes: I. Wer nun den lieben Gott läßt walten, BWV 690",Johann Sebastian Bach,0.964,0.175,142653,0.0138,0.815,10,0.108,-24.878,0,0.0341,79.546,4,0.196,0,classical
"Chorale Preludes: Liebster Jesu, wir sind hier, BWV 730",Johann Sebastian Bach,0.8809999999999999,0.141,121587,0.0979,0.919,8,0.1119999999999999,-30.472,1,0.047,101.279,3,0.0396,0,classical
"Christ lag in Todesbanden, BWV 4: II. Christ lag in Todesbanden",Johann Sebastian Bach,0.977,0.33,257340,0.121,0.348,3,0.113,-22.749,0,0.0402,81.472,4,0.547,13,classical
"Christen, ätzet diesen Tag, BWV 63 for the First Day of Christmas: VII. Coro. Höchster, schau in Gnaden an",Johann Sebastian Bach,0.97,0.3779999999999999,381227,0.21,0.122,11,0.0869,-20.387,1,0.0364,139.428,4,0.519,0,classical
"Christmas Oratorio, BWV 248, Pt. 2: I. Sinfonia",Johann Sebastian Bach,0.937,0.073,398667,0.0931,0.7979999999999999,7,0.103,-25.92,1,0.0403,77.55,4,0.04,2,classical
"Christmas Oratorio, BWV 248, Pt. 2: IX. Recitative. So geht denn hin, ihr Hirten, geht (Bass)",Johann Sebastian Bach,0.921,0.35,57493,0.2019999999999999,0.0004,7,0.376,-19.094,1,0.145,75.738,4,0.205,1,classical
"Christmas Oratorio, BWV 248, Pt. 5: IX. Trio. Ach, wenn wird die Zeit erscheinen? (Soprano, Alto, Tenor)",Johann Sebastian Bach,0.888,0.32,356667,0.147,5.13e-6,11,0.2339999999999999,-19.997,0,0.0718,130.658,4,0.257,1,classical
"Christum wir sollen loben schon, BWV 696 ""Was fürchtest du Feind, Herodes sehr""",Johann Sebastian Bach,0.878,0.215,95120,0.222,0.922,2,0.0866,-9.171,0,0.0409999999999999,113.45,3,0.0494,0,classical
"Chromatic Fantasia & Fugue in D Minor, BWV 903 (Arr. M. Reger for Organ): II. Fugue",Johann Sebastian Bach,0.931,0.0636,425173,0.141,0.875,2,0.0543,-21.424,0,0.037,65.169,5,0.0398,4,classical
"Clavier-Übung III: Vom Himmel hoch, da komm ich her, BWV 700",Johann Sebastian Bach,0.331,0.264,43473,0.186,0.941,1,0.102,-12.984000000000002,1,0.0393,54.973,4,0.568,1,classical
"Concerto for 2 Keyboards in C Minor, BWV 1062: I. Allegro (Live)",Johann Sebastian Bach,0.989,0.61,213160,0.51,0.865,0,0.212,-12.387,0,0.0276,103.859,4,0.8420000000000001,2,classical
"Concerto for Harpsichord & Strings, BWV 1056 - Arr. as Violin Concerto: 2. Largo",Johann Sebastian Bach,0.575,0.163,190133,0.067,0.00627,7,0.48,-30.185,0,0.0649,175.115,3,0.2339999999999999,12,classical
Concerto in D Major After BWV 169 and BWV 49: I. (Allegro),Johann Sebastian Bach,0.8220000000000001,0.263,472524,0.353,0.606,2,0.14,-13.206,1,0.0395,182.164,4,0.586,28,classical
Concerto in G Minor After BWV 1041 and BWV 1058: I. Allegro,Johann Sebastian Bach,0.877,0.432,235750,0.35,0.81,7,0.146,-13.147,0,0.0265,90.92,4,0.489,23,classical
"Das Orgelbüchlein: No. 22, Christus, der uns selig macht, BWV 620",Johann Sebastian Bach,0.752,0.16,149520,0.00268,0.838,9,0.321,-28.283,0,0.0557,129.411,3,0.291,0,classical
"Das wohltemperierte Klavier, Buch I: Fuge Nr. XV G-Dur, BWV 860",Johann Sebastian Bach,0.993,0.44,167439,0.251,0.926,7,0.15,-23.233,1,0.035,99.375,4,0.877,9,classical
"Das wohltemperierte Klavier, Buch I: Präludium Nr. VII Es-Dur, BWV 852",Johann Sebastian Bach,0.994,0.217,208718,0.0988,0.927,3,0.108,-24.497,1,0.0356,84.59299999999999,4,0.205,12,classical
"Das wohltemperierte Klavier, Buch I: Präludium Nr. XVI G-Moll, BWV 861",Johann Sebastian Bach,0.994,0.285,127385,0.0235,0.93,7,0.0961,-31.902,0,0.0381,85.887,4,0.0631,9,classical
"Das wohltemperierte Klavier, Buch II: Das wohltemperierte Klavier, Buch II: Fuge IX E-Dur, BWV 878",Johann Sebastian Bach,0.996,0.584,180454,0.181,0.947,4,0.0911,-22.683000000000003,1,0.0518,61.272,4,0.529,3,classical
"Der du bist drei in Einigkeit, BWV 293",Johann Sebastian Bach,0.991,0.273,39720,0.0611,0.000186,0,0.14,-24.035,1,0.0411,76.042,4,0.366,10,classical
"Die Kunst der Fuge, BWV 1080 (Arr. for Chamber Ensemble): Fugue No. 1",Johann Sebastian Bach,0.986,0.2769999999999999,235667,0.186,0.962,2,0.111,-10.713,0,0.0344,178.046,4,0.173,8,classical
"Die Kunst der Fuge, BWV 1080: Fugue No. 2 (Contrapunctus 3)",Johann Sebastian Bach,0.924,0.0839,222627,0.0603,0.939,1,0.104,-25.531,0,0.0424,84.56,4,0.135,12,classical
"Die Kunst der Fuge, BWV 1080: Fugue No. 7 (Contrapunctus 6)",Johann Sebastian Bach,0.945,0.168,264754,0.4539999999999999,0.8740000000000001,1,0.0795,-12.015999999999998,0,0.0403,127.994,3,0.201,9,classical
"English Suite No. 2 in A Minor, BWV 807: V. Bourrées I & II",Johann Sebastian Bach,0.917,0.284,306800,0.433,0.236,8,0.0568,-19.122,0,0.0336,88.10700000000001,4,0.972,10,classical
"English Suite No. 4 in F Major, BWV 809 (Arr. for 2 Guitars): II. Allemande",Johann Sebastian Bach,0.991,0.41,210960,0.0576,0.888,1,0.083,-28.282,1,0.0408,114.798,4,0.491,6,classical
"English Suite No. 4 in F Major, BWV 809 (Arr. for 2 Guitars): VI. Gigue",Johann Sebastian Bach,0.97,0.259,191773,0.22,0.8220000000000001,1,0.106,-25.39,1,0.0496,68.572,4,0.6759999999999999,5,classical
"English Suite No. 5 in E Minor, BWV 810: IV. Sarabande",Johann Sebastian Bach,0.996,0.457,283727,0.0117,0.935,1,0.09,-29.696,0,0.0521,71.132,4,0.16,17,classical
"Fantasia in D Minor, BWV 903a",Johann Sebastian Bach,0.715,0.183,359827,0.35,0.203,8,0.215,-17.178,1,0.039,89.025,4,0.322,6,classical
"French Suite No. 2 in C Minor, BWV 813a: IV. Air",Johann Sebastian Bach,0.988,0.488,83000,0.191,0.888,0,0.129,-24.012,0,0.033,100.618,4,0.87,6,classical
"French Suite No. 5 in G Major, BWV 816: 2. Courante",Johann Sebastian Bach,0.8,0.395,54733,0.573,0.282,7,0.105,-13.819,1,0.0434,121.45,3,0.665,3,classical
"Gelobet seist Du, Jesu Christ, BWV 91 for the First Day of Christmas: I. Coro. Gelobet seist du, Jesu Christ",Johann Sebastian Bach,0.943,0.5,175560,0.355,0.6890000000000001,6,0.0894,-18.529,1,0.0383,98.034,4,0.7709999999999999,0,classical
"Gib dich zufrieden und sei stille, BWV 512",Johann Sebastian Bach,0.991,0.273,151507,0.1969999999999999,2.5e-5,4,0.1159999999999999,-13.855,0,0.0675,167.028,3,0.121,2,classical
"Goldberg Variations, BWV 988 (Arr. P. Navarro-Alonso): Aria da capo",Johann Sebastian Bach,0.982,0.185,147373,0.00293,0.898,9,0.0883,-32.123000000000005,1,0.0401,84.738,3,0.423,2,classical
"Goldberg Variations, BWV 988 (Arr. P. Navarro-Alonso): Var. 3, Canone all'unisuono",Johann Sebastian Bach,0.933,0.446,121467,0.0604,0.946,9,0.109,-25.853,1,0.042,95.808,3,0.23,4,classical
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 14",Johann Sebastian Bach,0.962,0.295,152773,0.183,0.22,7,0.255,-19.006,1,0.0466,159.499,4,0.845,3,classical
"Goldberg Variations, BWV 988 (Arr. for Accordion): Var. 17",Johann Sebastian Bach,0.936,0.32,147787,0.248,0.0585,2,0.181,-19.526,1,0.0499,86.745,3,0.768,2,classical
"Goldberg Variations, BWV 988: No. 18, Variatio 25 - Concert Version by Ferruccio Busoni",Johann Sebastian Bach,0.994,0.353,211040,0.00895,0.898,0,0.0717,-38.332,0,0.0466,114.478,4,0.1969999999999999,5,classical
"Goldberg Variations, BWV 988: Var. 23",Johann Sebastian Bach,0.994,0.342,108266,0.0854,0.914,7,0.136,-30.516,1,0.0423,84.749,4,0.76,3,classical
"Goldberg Variations, BWV 988: Var. 24, Canone all'ottava",Johann Sebastian Bach,0.994,0.38,143294,0.0291,0.8809999999999999,7,0.114,-33.514,1,0.0499,64.972,4,0.41,3,classical
"Goldberg Variations, BWV 988: Var. 25",Johann Sebastian Bach,0.995,0.42,514362,0.00779,0.933,7,0.0947,-37.174,0,0.0435,93.877,4,0.142,3,classical
"Ich bin in mir vergnügt, BWV 204: No. 4, Die Schätzbarkeit der weiten Erden",Johann Sebastian Bach,0.871,0.205,284133,0.142,1.02e-6,4,0.281,-19.436,1,0.0548,78.09,4,0.497,6,classical
"Ich bin in mir vergnügt, BWV 204: No. 8, Himmlische Vergnügsamkeit",Johann Sebastian Bach,0.951,0.4379999999999999,264440,0.272,0.00161,9,0.31,-16.660999999999998,1,0.0376,96.095,4,0.6459999999999999,5,classical
"Ich hatte viel Bekümmernis, BWV 21: Sinfonia",Johann Sebastian Bach,0.94,0.114,185187,0.0626,0.6920000000000001,11,0.118,-22.143,0,0.0368,93.6,4,0.0494,28,classical
"Invention No. 3 In D Major, BWV 774",Johann Sebastian Bach,0.995,0.397,86187,0.105,0.865,2,0.154,-28.546,1,0.0387,137.267,3,0.7859999999999999,9,classical
"Italienisches Konzert in F Major, BWV 971: II. Andante",Johann Sebastian Bach,0.882,0.351,283864,0.182,0.0152,1,0.0711,-21.173,0,0.0374,126.148,4,0.359,10,classical
"Jesu, meine Freude, BWV 227 (Arr. for Mixed Chorus & Basso continuo): IV. Denn das Gesetz",Johann Sebastian Bach,0.994,0.209,56041,0.0664,0.81,3,0.262,-28.306,0,0.0441,144.731,4,0.124,6,classical
"Jesu, meines Glaubens Zier, BWV 472",Johann Sebastian Bach,0.934,0.3979999999999999,116573,0.236,0.0,5,0.186,-16.663,1,0.0533,78.684,3,0.299,2,classical
"Jesus Christus, unser Heiland (In Organo pleno), BWV 665a",Johann Sebastian Bach,0.644,0.0833,243787,0.356,0.8759999999999999,8,0.0802,-13.181,1,0.0352,83.527,3,0.195,3,classical
"Jesus schläft, was soll ich hoffen, BWV 81: I Jesus schläft was soll ich hoffen",Johann Sebastian Bach,0.974,0.1639999999999999,237480,0.12,0.00804,8,0.107,-19.238,0,0.04,88.041,3,0.14,17,classical
"Keyboard Concerto in D Minor, BWV 1052 (Arr. D. Ferella for Mandolin & Chamber Ensemble): II. Adagio",Johann Sebastian Bach,0.9,0.235,370000,0.187,0.823,0,0.134,-16.682000000000002,0,0.0365,87.164,3,0.0458,5,classical
"Kommt, eilet und laufet, BWV 249 ""Easter Oratorio"": No. 5, Seele, deine Spezereien",Johann Sebastian Bach,0.8859999999999999,0.366,503973,0.092,3.66e-5,11,0.096,-19.482,0,0.0541,142.128,4,0.3329999999999999,11,classical
